Cod_ID,UDH_Atlas,NOME_UDH,CODMUN6,NOME_MUN,CODUF,NOME_UF,CODRM,NOME_RM,ANO,ESPVIDA,FECTOT,MORT1,MORT5,SOBRE40,SOBRE60,RAZDEP,T_ENV,E_ANOSESTUDO,T_ANALF11A14,T_ANALF15A17,T_ANALF15M,T_ANALF18A24,T_ANALF18M,T_ANALF25A29,T_ANALF25M,T_ATRASO_2_BASICO,T_ATRASO_2_FUND,T_FBBAS,T_FBFUND,T_FBMED,T_FBSUPER,T_FLBAS,T_FLFUND,T_FLMED,T_FLSUPER,T_FREQ0A5,T_FREQ15A17,T_FREQ18A24,T_FREQ25A29,T_FREQ5A6,T_FREQ6A14,T_FREQ6A17,T_FREQFUND1517,T_FREQFUND1824,T_FREQMED1824,T_FUND11A13,T_FUND15A17,T_FUND18A24,T_FUND18M,T_FUND25M,T_MED18A20,T_MED18A24,T_MED18M,T_MED25M,T_SUPER25M,CORTE1,CORTE2,CORTE3,CORTE4,CORTE9,GINI,PIND,PINDCRI,PMPOB,PMPOBCRI,PPOB,PPOBCRI,PREN10RICOS,PREN20,PREN20RICOS,PREN40,PREN60,PREN80,PRENTRAB,R1040,R2040,RDPC,RDPC1,RDPC10,RDPC2,RDPC3,RDPC4,RDPC5,RDPCT,RIND,RMPOB,RPOB,THEIL,P_AGRO,P_COM,P_CONSTR,P_EXTR,P_SERV,P_SIUP,P_TRANSF,CPR,EMP,P_FORMAL,TRABCC,TRABPUB,TRABSC,P_FUND,P_MED,P_SUPER,REN0,REN1,REN2,REN3,REN5,RENOCUP,THEILtrab,T_ATIV,T_ATIV1014,T_ATIV1517,T_ATIV1824,T_ATIV18M,T_ATIV2529,T_DES,T_DES1014,T_DES1517,T_DES1824,T_DES18M,T_DES2529,T_AGUA,T_BANAGUA,T_DENS,T_LIXO,T_LUZ,AGUA_ESGOTO,PAREDE,T_CRIFUNDIN_TODOS,T_FORA0A5,T_FORA6A14,T_FUNDIN_TODOS,T_FUNDIN_TODOS_MMEIO,T_FUNDIN18MINF,T_M10A17CF,T_MULCHEFEFIF014,T_NESTUDA_NTRAB_MMEIO,T_OCUPDESLOC_1,T_RMAXIDOSO,T_SLUZ,T_VULNERA_NESTUDA_NTRAB_MMEIO,T_VULNERA_MULCHEFE,T_VULNERA_RMAXIDOSO,T_VULNERA_OCUPDESLOC_13,HOMEM0A4,HOMEM10A14,HOMEM15A19,HOMEM20A24,HOMEM25A29,HOMEM30A34,HOMEM35A39,HOMEM40A44,HOMEM45A49,HOMEM50A54,HOMEM55A59,HOMEM5A9,HOMEM60A64,HOMEM65A69,HOMEM70A74,HOMEM75A79,HOMENS80,HOMEMTOT,MULH0A4,MULH10A14,MULH15A19,MULH20A24,MULH25A29,MULH30A34,MULH35A39,MULH40A44,MULH45A49,MULH50A54,MULH55A59,MULH5A9,MULH60A64,MULH65A69,MULH70A74,MULH75A79,MULHER80,MULHERTOT,PEA,PEA1014,PEA1517,PEA18M,PESO1,PESO1114,PESO1113,PESO1214,PESO13,PESO15,PESO1517,PESO1524,PESO1618,PESO18,PESO1820,PESO1824,PESO1921,PESO25,PESO4,PESO5,PESO6,PESO610,PESO617,PESO65,PESOM1014,PESOM1517,PESOM15M,PESOM25M,PESORUR,PESOTOT,PESOURB,PIA,PIA1014,PIA1517,PIA18M,POP,POPT,MULCHEFEFDOM,DOMVULNERACOMID,POPVULNERAVEL15A24,OCUPMMEIOD,T_FBFUND_tudo,T_FBMED_tudo,T_FBBAS_tudo,T_FLFUND_tudo,T_FLMED_tudo,T_FLBAS_tudo,T_FUND11A13_tudo,I_ESCOLARIDADE,I_FREQ_PROP,IDHM,IDHM_E,IDHM_L,IDHM_R
1320530901025,1320530901025,Forte São João / Romão,320530,Vitória (ES),32,ES,63200,RM Grande Vitória (ES),2000,69.43,2.53,28.30,32.96,88.99,74.21,59.41,4.72,9.72,3.64,0.56,9.74,4.24,10.68,1.67,12.63,20.82,13.71,109.38,118.35,84.06,5.01,88.05,92.53,39.17,2.14,19.97,82.18,26.06,9.98,67.94,95.86,92.28,35.82,6.05,15.18,64.69,48.91,57.06,33.96,26.51,20.42,24.33,16.08,13.42,1.17,119.57,195.21,292.81,435.97,618.81,0.44,7.37,11.78,23.74,35.98,54.16,68.55,33.33,4.58,49.21,14.35,29.08,50.79,79.06,9.29,6.86,324.58,74.35,1081.82,158.51,239.11,352.24,798.72,326.92,41.06,82.91,144.65,0.34,3.39,13.78,11.00,0.13,55.01,0.00,16.07,18.87,0.46,56.31,49.05,4.68,26.23,41.48,20.55,1.37,0.85,50.02,85.15,92.98,97.70,713.01,0.27,,6.59,45.26,73.42,67.06,78.06,,0.00,49.73,24.23,16.49,16.19,99.00,89.96,36.56,73.05,99.79,5.16,,50.32,80.03,4.14,41.98,27.87,48.50,3.38,63.21,15.38,,3.15,0.21,32.19,31.88,46.04,,76,74,67,61,57,53,45,32,29,24,20,78,16,13,10,3,4,660,87,78,76,86,63,55,48,40,37,26,24,66,28,18,8,5,7,748,,10,40,578,37,124,96,91,89,950,89,289,87,862,89,201,81,661,37,31,32,142,354,67,78,50,518,356,0,1408,1408,1102,152,89,862,1407,,,,,,128.53,90.03,118.45,95.99,42.48,92.63,80.85,0.340,0.505,0.580,0.443,0.741,0.595
1320530901037,1320530901037,Vila Rubim / do Quadro,320530,Vitória (ES),32,ES,63200,RM Grande Vitória (ES),2000,74.49,1.58,18.00,20.99,92.78,82.06,47.08,10.37,10.80,2.83,0.00,3.46,1.10,3.75,0.00,4.31,12.67,6.82,112.40,114.31,108.11,28.75,91.46,95.86,55.62,14.47,50.68,86.76,37.37,17.77,96.04,97.75,94.37,23.96,2.93,16.23,85.06,64.02,81.92,61.62,56.78,44.76,52.40,41.39,38.76,8.03,270.04,405.06,634.43,1096.42,1659.28,0.48,1.62,3.29,6.85,12.22,18.42,28.75,35.60,4.16,52.61,12.58,25.76,47.39,69.71,11.32,8.37,782.87,162.96,2787.36,329.37,516.07,846.49,2059.45,782.87,42.69,85.24,153.33,0.41,1.18,17.79,6.95,0.85,59.64,1.66,10.60,21.72,4.62,64.19,49.33,5.68,17.51,72.65,50.96,10.66,1.28,30.58,60.52,73.25,88.58,1346.72,0.44,,5.87,39.57,77.54,67.65,90.61,,48.97,41.46,27.86,17.20,19.62,100.00,97.39,22.83,99.92,99.92,0.00,,19.98,49.32,2.25,15.67,7.23,30.68,2.43,39.73,5.99,,1.35,0.08,31.85,15.63,79.19,,43,59,57,64,40,46,64,55,43,41,26,61,22,13,14,14,11,673,33,68,78,68,50,64,64,53,54,40,29,47,19,38,28,15,16,764,,7,34,704,11,106,75,84,48,1126,86,267,79,1040,77,181,75,859,17,20,23,109,301,149,68,52,616,470,0,1437,1437,1253,127,86,1040,1428,,,,,,120.51,119.40,120.17,97.75,60.07,94.98,91.34,0.616,0.725,0.748,0.687,0.825,0.737
1320530901040,1320530901040,do Moscoso / Piedade / Fonte Grande,320530,Vitória (ES),32,ES,63200,RM Grande Vitória (ES),2000,70.23,2.25,26.50,30.85,89.64,75.50,54.56,5.59,9.56,3.17,2.10,7.80,2.77,8.41,3.21,10.22,19.26,12.59,104.25,115.74,78.91,4.74,86.00,92.73,38.77,1.64,40.77,76.04,26.77,13.90,85.76,95.06,89.12,31.86,4.16,15.09,79.29,46.90,55.97,40.03,34.48,18.82,24.01,19.46,17.88,2.18,143.15,222.05,322.09,527.06,790.60,0.48,5.22,9.03,19.42,30.05,48.39,62.95,38.68,4.41,54.15,13.16,26.12,45.85,75.49,11.76,8.23,410.66,90.61,1588.50,179.63,266.05,405.17,1111.86,410.93,47.23,89.04,153.09,0.41,1.97,14.58,11.35,0.25,60.50,0.36,9.39,19.78,1.02,59.83,52.45,4.32,21.12,45.29,24.30,2.43,1.44,46.96,81.20,89.02,96.08,809.21,0.32,,6.19,53.76,78.61,73.52,85.66,,52.02,49.00,29.52,18.46,17.91,97.23,91.99,41.02,99.37,99.79,0.38,,39.43,59.23,4.94,32.21,18.81,42.03,6.25,70.30,15.24,,1.78,0.21,31.64,37.50,31.61,,129,126,156,115,109,81,70,59,56,39,38,140,28,20,16,5,13,1196,112,124,137,138,94,109,91,76,58,59,37,98,41,30,22,15,18,1256,,15,90,1145,46,205,153,156,159,1724,167,546,181,1558,175,379,156,1179,37,47,53,235,606,137,124,74,922,648,0,2451,2451,1974,250,167,1558,2451,,,,,,127.07,85.37,114.06,95.15,39.89,89.29,91.47,0.400,0.577,0.625,0.511,0.754,0.633
1320530901041,1320530901041,Santa Clara / Parque Moscoso / Centro,320530,Vitória (ES),32,ES,63200,RM Grande Vitória (ES),2000,75.54,1.35,16.20,18.90,93.47,83.58,45.71,12.32,11.52,0.12,0.16,1.77,0.44,1.88,0.79,2.15,8.69,4.18,114.78,115.05,114.08,51.52,93.21,95.05,62.08,27.96,58.82,91.99,47.78,20.85,98.81,98.34,96.55,21.48,4.28,10.85,89.03,72.56,83.41,76.20,74.55,56.57,62.40,60.65,60.24,22.27,406.43,819.88,1302.04,2033.43,2952.54,0.48,1.62,3.44,3.75,7.11,12.55,20.31,34.12,3.16,50.98,11.36,26.23,49.02,71.73,12.01,8.97,1432.65,226.44,4888.66,587.59,1065.03,1632.24,3651.92,1436.00,33.02,77.55,165.34,0.45,1.61,19.92,3.85,0.48,64.61,0.97,7.16,19.08,7.05,71.99,47.63,11.37,13.79,84.67,70.86,25.81,1.01,16.83,42.78,52.23,70.83,2433.03,0.53,,2.46,27.58,67.21,67.57,81.62,,65.97,55.08,29.46,15.07,25.28,100.00,98.06,15.44,99.55,99.92,0.00,,8.92,41.18,1.66,7.67,3.29,18.01,1.01,26.63,4.75,,0.00,0.08,29.78,9.19,0.00,,183,252,261,259,211,195,228,246,196,160,126,189,115,93,87,51,56,2904,160,243,305,284,232,269,269,313,247,215,150,201,147,153,143,103,110,3541,,12,86,3316,69,402,304,304,197,5219,312,1109,354,4907,369,797,355,4110,77,73,79,410,1124,794,243,159,2938,2349,0,6445,6445,5714,495,312,4907,6390,,,,,,119.98,130.41,122.91,98.91,70.79,97.07,93.39,0.762,0.792,0.819,0.782,0.842,0.834
1320530901042,1320530901042,Centro,320530,Vitória (ES),32,ES,63200,RM Grande Vitória (ES),2000,75.70,1.33,15.90,18.59,93.57,83.81,45.14,15.00,11.92,0.62,0.16,2.10,0.58,2.22,0.82,2.52,6.36,4.42,104.57,107.96,97.36,55.63,91.24,94.57,67.24,27.33,43.32,88.21,45.38,19.23,92.15,98.76,95.39,13.78,2.24,11.05,88.86,80.19,87.74,81.96,80.70,63.67,66.07,66.15,66.16,22.60,520.56,878.44,1366.46,2276.14,3150.67,0.46,0.06,0.13,1.30,2.15,5.57,9.04,33.68,4.14,50.83,12.99,27.04,49.17,71.09,10.37,7.83,1581.03,327.37,5324.31,699.32,1111.23,1749.22,4018.00,1581.03,68.32,93.05,176.00,0.38,0.87,18.31,3.55,0.96,64.79,0.44,10.68,19.45,10.72,68.25,43.47,10.68,14.22,88.01,73.33,24.90,1.46,16.21,37.01,48.10,67.34,2606.07,0.51,,1.26,29.58,69.30,67.89,84.49,,16.71,44.02,28.36,12.01,14.71,99.76,99.50,13.24,99.65,99.84,0.16,,5.26,56.68,1.24,4.53,1.25,13.05,1.34,16.28,1.93,,0.00,0.16,31.00,6.94,0.00,,142,208,273,261,195,213,226,212,199,173,123,171,101,100,91,68,70,2822,131,195,291,273,231,238,275,294,271,199,163,174,164,181,157,106,181,3521,,5,94,3397,48,324,231,249,173,5321,317,1097,342,5004,358,780,346,4224,52,62,69,362,1003,951,195,163,3021,2457,0,6342,6342,5724,403,317,5004,6299,,,,,,114.15,114.96,114.41,98.76,78.87,97.35,93.75,0.820,0.812,0.837,0.815,0.845,0.850
1320530901043,1320530901043,Centro,320530,Vitória (ES),32,ES,63200,RM Grande Vitória (ES),2000,71.14,1.97,24.50,28.56,90.36,76.94,43.08,9.59,9.69,1.19,0.00,6.06,1.93,6.59,2.46,7.71,20.74,11.28,113.91,122.77,92.61,6.10,89.25,95.43,37.54,2.47,51.81,77.63,29.74,14.28,88.70,96.17,90.73,36.84,7.30,17.06,76.25,50.88,71.06,49.19,42.20,28.41,32.65,25.70,23.48,3.38,156.17,278.17,390.91,709.91,1041.11,0.47,2.92,6.07,14.31,25.43,36.10,52.57,35.48,4.33,52.64,12.93,26.11,47.36,78.27,10.97,8.14,499.80,108.09,1773.20,215.15,329.13,531.12,1315.49,499.80,47.89,92.36,150.57,0.40,0.63,17.71,9.92,0.45,60.17,0.14,10.10,24.47,1.42,58.42,50.43,3.91,18.70,55.07,31.24,3.68,1.01,39.97,76.04,84.98,95.01,941.72,0.36,,5.08,43.33,79.88,74.13,85.47,,44.64,55.69,26.96,17.02,19.73,99.72,93.11,36.33,99.39,99.71,0.00,,30.31,48.19,3.83,23.26,13.38,37.08,5.88,50.90,10.56,,0.31,0.29,31.40,28.22,11.86,,23,27,39,32,29,35,27,27,16,19,10,23,8,11,7,5,4,337,24,26,39,40,33,27,39,28,22,15,15,26,13,13,11,9,12,389,,3,20,394,9,42,31,32,29,578,46,150,48,532,44,104,45,428,9,9,10,50,138,70,26,25,313,234,0,725,725,631,53,46,532,719,,,,,,127.78,99.13,119.37,95.91,39.43,90.97,91.23,0.492,0.611,0.662,0.568,0.769,0.664
1320530902033,1320530902033,Grande Vitória / Inhanguetá / Bela Vista / Estrelinha,320530,Vitória (ES),32,ES,63200,RM Grande Vitória (ES),2000,70.23,2.25,26.50,30.85,89.64,75.50,55.27,4.15,9.56,2.35,1.45,7.72,2.51,8.44,1.99,10.39,19.26,12.59,104.25,115.74,78.91,4.74,86.00,92.73,38.77,1.64,40.77,76.04,26.77,13.90,85.76,95.06,89.12,31.86,4.16,15.09,79.29,46.90,55.97,40.03,34.48,18.82,24.01,19.46,17.88,2.18,143.15,222.05,322.09,527.06,790.60,0.48,5.22,9.03,19.42,30.05,48.39,62.95,38.68,4.41,54.15,13.16,26.12,45.85,75.49,11.76,8.23,410.66,90.61,1588.50,179.63,266.05,405.17,1111.86,410.93,47.23,89.04,153.09,0.41,1.97,14.58,11.35,0.25,60.50,0.36,9.39,19.78,1.02,59.83,52.45,4.32,21.12,45.29,24.30,2.43,1.44,46.96,81.20,89.02,96.08,809.21,0.32,,6.19,53.76,78.61,73.52,85.66,,52.02,49.00,29.52,18.46,17.91,99.48,91.99,41.02,99.37,99.79,0.38,,39.43,59.23,4.94,32.21,18.81,42.03,6.25,70.30,15.24,,1.78,0.21,31.64,37.50,31.61,,747,738,747,662,479,504,468,391,334,209,127,667,101,94,55,43,31,6393,687,726,797,740,553,534,507,481,348,239,176,596,128,135,86,53,54,6837,,91,501,5983,316,1191,899,899,851,9069,931,2944,959,8138,909,2013,877,6125,268,260,254,1275,3397,549,726,478,4828,3292,0,13229,13229,10533,1464,931,8138,13199,,,,,,127.07,85.37,114.06,95.15,39.89,89.29,91.47,0.400,0.577,0.625,0.511,0.754,0.633
1320530902034,1320530902034,Universitário,320530,Vitória (ES),32,ES,63200,RM Grande Vitória (ES),2000,72.75,1.84,21.20,24.75,91.56,79.44,50.19,3.51,9.75,1.14,0.00,5.60,0.28,6.10,1.30,7.82,17.99,10.71,111.34,114.45,102.78,14.24,90.15,94.03,45.46,5.07,51.28,80.78,36.23,16.94,88.78,94.94,91.17,31.81,6.85,18.48,81.86,55.00,74.13,57.11,52.52,33.35,36.01,35.47,35.32,5.53,195.21,344.87,510.80,829.64,1257.15,0.46,2.36,3.92,10.79,17.55,27.67,39.23,34.51,4.19,51.16,12.94,26.89,48.84,75.09,10.67,7.91,608.84,127.44,2101.13,266.44,424.72,668.32,1557.26,608.84,45.67,95.39,152.98,0.39,0.86,15.41,6.27,0.78,65.66,0.61,9.22,19.41,1.42,66.49,52.74,8.74,16.15,65.26,42.62,6.59,1.54,32.69,66.58,79.67,91.38,1103.03,0.35,,2.25,40.40,78.21,71.73,86.06,,79.11,66.16,26.95,15.49,14.43,100.00,95.12,28.86,99.28,99.94,0.31,,23.99,48.72,5.06,18.87,8.61,31.99,3.42,42.26,8.70,,1.68,0.06,29.51,22.68,57.74,,65,46,63,51,56,59,39,46,36,21,11,64,9,7,4,4,3,579,56,63,65,66,60,60,45,42,26,24,14,64,8,12,5,5,4,617,,2,28,552,25,88,68,61,70,839,69,245,73,770,77,176,71,595,27,30,19,119,275,42,63,33,434,303,0,1196,1196,948,109,69,770,1115,,,,,,120.09,119.47,119.92,94.94,49.30,91.72,88.67,0.571,0.647,0.701,0.621,0.796,0.696
1320530902035,1320530902035,Santo Antônio / Ariovaldo Favalessa / Santa Tereza,320530,Vitória (ES),32,ES,63200,RM Grande Vitória (ES),2000,74.49,1.58,18.00,20.99,92.78,82.06,46.46,7.59,10.80,1.14,0.99,3.81,1.21,4.05,1.15,4.78,12.67,6.82,112.40,114.31,108.11,28.75,91.46,95.86,55.62,14.47,50.68,86.76,37.37,17.77,96.04,97.75,94.37,23.96,2.93,16.23,85.06,64.02,81.92,61.62,56.78,44.76,52.40,41.39,38.76,8.03,270.04,405.06,634.43,1096.42,1659.28,0.48,1.62,3.29,6.85,12.22,18.42,28.75,35.60,4.16,52.61,12.58,25.76,47.39,69.71,11.32,8.37,782.87,162.96,2787.36,329.37,516.07,846.49,2059.45,782.87,42.69,85.24,153.33,0.41,1.18,17.79,6.95,0.85,59.64,1.66,10.60,21.72,4.62,64.19,49.33,5.68,17.51,72.65,50.96,10.66,1.28,30.58,60.52,73.25,88.58,1346.72,0.44,,5.87,39.57,77.54,67.65,90.61,,48.97,41.46,27.86,17.20,19.62,99.80,97.39,22.83,99.92,99.92,0.00,,19.98,49.32,2.25,15.67,7.23,30.68,2.43,39.73,5.99,,1.35,0.08,31.85,15.63,79.19,,298,299,373,342,314,291,283,255,197,156,108,339,92,83,66,34,23,3549,292,336,390,427,298,309,319,334,245,183,146,275,145,134,108,59,73,4070,,37,180,3604,119,526,386,395,349,5781,454,1531,495,5327,483,1077,484,4251,122,119,128,604,1583,579,336,230,3167,2351,0,7619,7619,6416,635,454,5327,7580,,,,,,120.51,119.40,120.17,97.75,60.07,94.98,91.34,0.616,0.725,0.748,0.687,0.825,0.737
1320530902036,1320530902036,Mário Cypreste / Caratoíra / Ilha do Príncipe,320530,Vitória (ES),32,ES,63200,RM Grande Vitória (ES),2000,71.02,1.99,24.80,28.85,90.27,76.75,50.03,6.75,10.14,1.76,1.22,6.07,1.11,6.51,2.48,7.85,15.46,7.49,107.78,116.52,82.02,9.80,90.30,94.93,39.77,3.83,48.96,79.44,30.72,11.40,89.94,96.32,92.05,36.38,6.80,14.68,86.41,47.07,62.22,50.31,47.41,26.31,28.30,27.05,26.75,3.57,153.73,244.01,390.42,683.23,1054.13,0.50,4.74,8.63,15.75,22.85,42.93,54.27,37.32,3.98,54.87,11.84,24.24,45.13,69.34,12.61,9.27,499.09,99.33,1862.37,196.02,309.49,521.32,1369.28,499.09,46.36,86.80,154.40,0.45,0.66,16.72,6.31,0.78,64.77,0.21,9.73,22.22,2.04,62.83,51.80,5.67,17.35,60.54,34.84,4.25,0.92,39.52,75.11,84.03,94.06,954.42,0.35,,7.60,47.60,74.65,69.30,88.10,,66.87,64.55,36.30,22.10,16.76,99.88,95.65,35.58,99.64,99.14,0.26,,24.75,51.04,3.68,22.18,14.91,38.22,1.29,49.58,16.51,,1.72,0.86,32.66,21.10,46.59,,438,464,525,443,363,390,406,302,260,198,127,451,125,100,71,50,40,4748,433,449,497,499,424,416,424,404,302,239,199,452,193,155,107,76,84,5349,,69,292,4711,173,737,545,567,528,7411,613,1963,621,6798,633,1350,633,5448,171,183,200,896,2245,682,449,306,4015,3020,0,10097,10097,8324,913,613,6798,10063,,,,,,121.92,92.35,114.43,96.32,44.86,92.97,95.54,0.503,0.624,0.666,0.581,0.767,0.664
1320530902037,1320530902037,Vila Rubim / do Quadro,320530,Vitória (ES),32,ES,63200,RM Grande Vitória (ES),2000,74.49,1.58,18.00,20.99,92.78,82.06,47.03,8.41,10.80,0.00,0.58,3.66,0.96,3.89,2.17,4.56,12.67,6.82,112.40,114.31,108.11,28.75,91.46,95.86,55.62,14.47,50.68,86.76,37.37,17.77,96.04,97.75,94.37,23.96,2.93,16.23,85.06,64.02,81.92,61.62,56.78,44.76,52.40,41.39,38.76,8.03,270.04,405.06,634.43,1096.42,1659.28,0.48,1.62,3.29,6.85,12.22,18.42,28.75,35.60,4.16,52.61,12.58,25.76,47.39,69.71,11.32,8.37,782.87,162.96,2787.36,329.37,516.07,846.49,2059.45,782.87,42.69,85.24,153.33,0.41,1.18,17.79,6.95,0.85,59.64,1.66,10.60,21.72,4.62,64.19,49.33,5.68,17.51,72.65,50.96,10.66,1.28,30.58,60.52,73.25,88.58,1346.72,0.44,,5.87,39.57,77.54,67.65,90.61,,48.97,41.46,27.86,17.20,19.62,100.00,97.39,22.83,99.92,99.92,0.00,,19.98,49.32,2.25,15.67,7.23,30.68,2.43,39.73,5.99,,1.35,0.08,31.85,15.63,79.19,,65,61,72,64,48,67,60,59,43,30,30,65,19,15,17,12,9,731,70,55,82,77,68,79,71,58,49,38,33,57,31,19,29,12,21,845,,7,34,756,31,97,80,68,83,1204,86,294,95,1118,101,208,91,910,22,28,22,113,295,133,55,48,663,505,0,1576,1576,1320,116,86,1118,1576,,,,,,120.51,119.40,120.17,97.75,60.07,94.98,91.34,0.616,0.725,0.748,0.687,0.825,0.737
1320530902038,1320530902038,do Cabral,320530,Vitória (ES),32,ES,63200,RM Grande Vitória (ES),2000,70.23,2.25,26.50,30.85,89.64,75.50,49.59,5.27,9.56,2.00,1.08,6.49,0.34,6.91,1.90,9.02,19.26,12.59,104.25,115.74,78.91,4.74,86.00,92.73,38.77,1.64,40.77,76.04,26.77,13.90,85.76,95.06,89.12,31.86,4.16,15.09,79.29,46.90,55.97,40.03,34.48,18.82,24.01,19.46,17.88,2.18,143.15,222.05,322.09,527.06,790.60,0.48,5.22,9.03,19.42,30.05,48.39,62.95,38.68,4.41,54.15,13.16,26.12,45.85,75.49,11.76,8.23,410.66,90.61,1588.50,179.63,266.05,405.17,1111.86,410.93,47.23,89.04,153.09,0.41,1.97,14.58,11.35,0.25,60.50,0.36,9.39,19.78,1.02,59.83,52.45,4.32,21.12,45.29,24.30,2.43,1.44,46.96,81.20,89.02,96.08,809.21,0.32,,6.19,53.76,78.61,73.52,85.66,,52.02,49.00,29.52,18.46,17.91,99.97,91.99,41.02,99.37,99.79,0.38,,39.43,59.23,4.94,32.21,18.81,42.03,6.25,70.30,15.24,,1.78,0.21,31.64,37.50,31.61,,93,83,88,106,75,81,65,46,46,28,32,84,11,17,8,8,2,870,83,75,93,100,83,74,64,60,56,41,32,86,29,25,16,8,12,934,,10,50,889,42,125,91,97,98,1302,93,387,116,1209,135,294,118,915,36,43,33,160,378,95,75,49,691,498,0,1804,1804,1460,158,93,1209,1800,,,,,,127.07,85.37,114.06,95.15,39.89,89.29,91.47,0.400,0.577,0.625,0.511,0.754,0.633
1320530902039,1320530902039,Santa Tereza,320530,Vitória (ES),32,ES,63200,RM Grande Vitória (ES),2000,69.65,2.50,27.80,32.39,89.17,74.56,50.69,4.53,10.02,0.68,1.61,6.97,0.58,7.44,2.05,9.66,21.59,12.03,115.19,118.43,106.47,4.24,91.89,93.11,41.03,1.57,50.70,86.94,30.19,15.72,84.31,95.85,93.44,44.72,4.15,21.05,75.15,45.47,64.82,41.34,33.24,17.58,21.96,16.14,14.13,0.62,127.86,219.02,307.45,455.49,635.41,0.43,6.08,11.01,21.52,32.27,48.65,60.74,32.34,4.76,48.24,14.97,30.31,51.76,80.28,8.64,6.45,338.57,80.50,1094.95,172.84,259.78,363.10,816.62,339.08,40.41,84.16,145.76,0.33,2.36,14.16,11.83,0.43,60.57,0.17,9.05,21.71,1.34,58.55,53.09,3.12,18.01,47.35,19.82,0.75,2.73,49.53,86.40,92.69,97.78,703.24,0.27,,8.54,52.19,81.39,76.83,87.86,,56.17,56.51,26.35,19.85,18.72,99.95,88.93,42.02,99.48,100.00,0.11,,38.08,49.30,4.15,33.06,20.25,41.33,2.70,66.17,12.51,,2.51,0.00,28.37,34.69,42.04,,62,46,46,58,46,57,38,25,25,16,18,57,7,9,6,2,2,517,53,46,63,68,52,48,38,29,28,26,17,52,17,16,5,4,6,565,,8,32,542,26,74,53,58,64,768,62,235,70,706,77,173,71,533,25,26,18,101,237,49,46,40,415,284,0,1082,1082,860,92,62,706,1081,,,,,,123.86,113.31,121.00,95.99,41.91,93.68,89.47,0.413,0.556,0.609,0.504,0.744,0.602
1320530903008,1320530903008,Jesus de Nazareth,320530,Vitória (ES),32,ES,63200,RM Grande Vitória (ES),2000,70.23,2.25,26.50,30.85,89.64,75.50,56.57,3.88,9.56,2.06,4.62,10.59,2.00,11.28,5.56,14.27,19.26,12.59,104.25,115.74,78.91,4.74,86.00,92.73,38.77,1.64,40.77,76.04,26.77,13.90,85.76,95.06,89.12,31.86,4.16,15.09,79.29,46.90,55.97,40.03,34.48,18.82,24.01,19.46,17.88,2.18,143.15,222.05,322.09,527.06,790.60,0.48,5.22,9.03,19.42,30.05,48.39,62.95,38.68,4.41,54.15,13.16,26.12,45.85,75.49,11.76,8.23,410.66,90.61,1588.50,179.63,266.05,405.17,1111.86,410.93,47.23,89.04,153.09,0.41,1.97,14.58,11.35,0.25,60.50,0.36,9.39,19.78,1.02,59.83,52.45,4.32,21.12,45.29,24.30,2.43,1.44,46.96,81.20,89.02,96.08,809.21,0.32,,6.19,53.76,78.61,73.52,85.66,,52.02,49.00,29.52,18.46,17.91,98.23,91.99,41.02,99.37,99.79,0.38,,39.43,59.23,4.94,32.21,18.81,42.03,6.25,70.30,15.24,,1.78,0.21,31.64,37.50,31.61,,218,190,208,175,155,128,122,97,75,58,30,175,30,21,12,11,6,1711,180,158,178,176,169,116,116,111,79,50,39,167,43,28,24,12,17,1663,,22,128,1506,81,291,219,225,240,2286,238,737,253,2048,227,499,212,1549,77,73,75,326,855,131,158,116,1158,804,0,3374,3374,2634,348,238,2048,3341,,,,,,127.07,85.37,114.06,95.15,39.89,89.29,91.47,0.400,0.577,0.625,0.511,0.754,0.633
1320530903009,1320530903009,Praia do Suá / Bento Ferreira,320530,Vitória (ES),32,ES,63200,RM Grande Vitória (ES),2000,75.86,1.31,15.60,18.28,93.67,84.05,41.25,8.64,11.64,0.00,0.94,2.22,0.00,2.31,0.00,2.77,6.20,2.62,104.11,104.50,102.89,71.98,95.05,96.21,68.49,39.22,52.18,92.63,57.71,17.48,94.40,99.20,97.63,18.02,2.28,9.79,90.42,77.47,91.43,85.35,84.23,68.75,72.78,73.87,74.06,28.64,601.24,1076.09,1551.91,2244.90,3271.70,0.42,0.64,1.39,1.08,2.19,5.14,10.63,30.40,4.70,46.79,14.82,30.78,53.21,74.65,8.21,6.32,1649.74,387.89,5015.97,834.31,1316.34,1850.54,3859.61,1649.74,51.34,76.56,163.67,0.32,0.95,18.07,3.35,1.71,64.96,0.78,8.66,17.74,10.52,74.42,45.06,12.55,12.48,93.23,84.39,32.62,1.66,10.57,28.02,39.51,63.34,2620.07,0.37,,3.14,30.18,63.10,69.89,93.07,,78.49,41.25,27.33,9.17,7.39,100.00,99.62,9.86,100.00,100.00,0.00,,3.00,47.82,0.80,3.63,1.04,12.02,0.98,2.17,1.21,,0.13,0.00,19.14,0.87,28.56,,50,89,92,90,62,77,88,78,71,57,37,81,27,28,30,7,5,969,53,96,92,103,94,88,115,97,105,56,47,74,49,48,26,12,30,1185,,6,32,1122,17,154,105,117,69,1711,106,377,107,1605,126,271,126,1334,17,30,22,156,416,186,96,54,962,767,0,2154,2154,1896,185,106,1605,2132,,,,,,109.37,127.16,113.63,99.20,75.76,98.12,97.45,0.854,0.828,0.847,0.837,0.848,0.856
